item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase,frecuencia,estacionalidad,tendencia,intermitente
1701,meloxivet 60 ml,analgesico,medicamento,14900,10347,28,2,0.0002,500,-1.0,1.0,1,1.0
1489,le salon cortauñas alicate ergonomico,grooming,accesorio,15990,11666,34,0,0.001,500,,,0,
921,comedero interactivo garra marrón y azúl,juguetes,accesorio,20030,13145,49,0,0.004,500,-1.0,1.0,0,1.0
275,revolution perro 5-10 kg,ant. ext.,medicamento,18700,12413,35,2,0.0002,500,-1.0,1.0,1,1.0
416,royal canin baby cat milk 300gr,suplementos,alimento,18450,13913,55,1,0.015,2850,-1.0,1.0,1,1.0
1655,honey h-harness medium,paseo,accesorio,16900,11106,36,1,0.001,550,-1.0,0.0,1,1.0
247,capa polar c/chiporro t-s (1)  a. doctor,ropa,accesorio,6550,4447,14,1,0.001,500,-1.0,1.0,1,1.0
383,zeus nosh hueso duro sabor tocino l,juguetes,accesorio,12990,8638,31,2,0.004,950,-1.0,1.0,1,1.0
322,afp dog sparkle cepillo dedo/pasta,juguetes,accesorio,14490,10920,30,5,0.001,500,-1.0,1.0,1,1.0
203,zeus collar ajustable xl azul denim,paseo,accesorio,6670,4406,17,1,0.004,500,0.0,0.0,1,1.0
873,zeedog prisma h-harness small,paseo,accesorio,13850,9156,34,0,0.004,1050,-1.0,1.0,0,1.0
1111,brit mono protein turkey & sweet potato 400 g,latas,alimento,3600,2494,11,0,0.015,2050,-1.0,1.0,0,1.0
1303,revolution gato 2.5-7.5 kg,ant. ext.,medicamento,14990,11826,28,6,0.0002,500,,,1,
352,coastal new earth collar de soya menta xs,paseo,accesorio,9190,7209,19,0,0.001,500,,,0,
575,capa arnè talla 2 cata pets,ropa,accesorio,14480,9604,35,0,0.004,600,-1.0,1.0,0,1.0
479,coastal style collar teal purple diamonds s,paseo,accesorio,7990,5318,17,2,0.001,500,-1.0,1.0,1,1.0
942,bravery chicken mini puppy small breeds 2 kg,cachorros,alimento,16990,11652,52,9,0.015,1600,-1.0,1.0,1,1.0
